city,lat,lon,precip,class,pop,damage,cost
Mumbai,18.987807,72.836447,173.00000000000000,1,20411000,353110.3,176555150
Delhi,28.651952,77.231495,5.700000000000000,0,10928270,6229.11,3114555
Kolkata,22.562627,88.363044,25.62,0,14850000,38045.7,19022850
Chennai,13.084622,80.248357,146.00000000000000,1,10971108,160178.18,80089090
Bengaluru,12.977063,77.587106,3.6000000000000000,0,12327000,4437.72,2218860
Hyderabad,17.384052,78.456355,7.400000000000000,0,3598199,2662.67,1331335
Ahmadabad,23.025793,72.587265,6.7,0,3719933,2492.36,1246180
Haora,22.576882,88.318566,4.0,0,1027771,411.11,205555
Pune,18.513271,73.849852,6.8,0,2935968,1996.46,998230
Surat,21.195944,72.830232,10.7,0,2894675,3097.3,1548650
Mardanpur,26.430066,80.267176,106.00000000000000,1,2451,25.98,12990
Rampura,26.884682,75.789336,7.4000000000000000,0,45642,33.78,16890
Lucknow,26.839281,80.923133,11.000000000000000,0,3677000,4044.7,2022350
Nara,21.203096,79.089284,7.1000000000000000,0,97205,69.02,34510
Patna,25.615379,85.101027,6.000000000000000,0,1600085,960.05,480025
Indore,22.717736,75.85859,8.400000000000000,0,1837230,1543.27,771635
Vadodara,22.299405,73.208119,6.5,0,1409565,916.22,458110
Bhopal,23.254688,77.402892,7.800000000000000,0,1600080,1248.06,624030
Coimbatore,11.005547,76.966122,0.8,0,2786600,222.93,111465
Ludhiana,30.912042,75.853789,6.300000000000000,0,1545476,973.65,486825
Agra,27.187935,78.003944,6.7,0,1430194,958.23,479115
Kalyan,19.243703,73.135537,24.2,0,1262355,3054.9,1527450
Vishakhapatnam,17.704052,83.297663,3.2,0,2175000,696.0,348000
Kochi,9.947743,76.253802,177.00000000000000,1,604751,10704.09,5352045
Nasik,19.999963,73.776887,4.0,0,2066000,826.4,413200
Meerut,28.980018,77.706356,8.300000000000000,0,1696000,1407.68,703840
Faridabad,28.411236,77.313162,7.000000000000000,0,1280909,896.64,448320
Varanasi,25.31774,83.005811,10.4,0,1164520,1211.1,605550
